"","gemeente_id","gemeente_district_and_neighborhood","gemeente_municipality","gemeente_type_region","gemeente_code","gemeente_change_in_layout","gemeente_number_of_inhabitants","gemeente_n_Sixty_Five_Years_Or_Older","gemeente_WesternTotal","gemeente_Non_Western_Total","gemeente_Morocco","gemeente_Turkey","gemeente_Population_Density","gemeente_Average_Home_Value","gemeente_Average_Income_Per_Income_Recipient","gemeente_Average_Income_Per_Inhabitant","gemeente_40_Lowest_Income_People","gemeente_20_Persons_With_Highest_Income","gemeente_40_Lowest_Income_Households","gemeente_20_House_holds_With_Highest_Income","gemeente_low_income_households","gemeente_House_hold_Under_Or_Around_Social_Minimum","gemeente_code_four_digits"
"9525",9524,"GM0024","Loppersum","Gemeente","GM0024",".",9914,2055,417,207,2,11,"89","144","28.3","22.6","42.5","15.7","38.9","17.1","7.5","6.4","0024"
"9553",9552,"GM0168","Losser","Gemeente","GM0168",".",22482,4992,2549,705,12,192,"228","204","28.5","23.1","41.7","15.3","34.5","20","5.4","4.9","0168"
"9572",9571,"GM0263","Maasdriel","Gemeente","GM0263",".",24250,4404,1798,722,133,22,"367","263","32","25.6","39.5","20.3","31.1","26.6","4.7","4.6","0263"
"9602",9601,"GM1641","Maasgouw","Gemeente","GM1641",".",23774,5884,2674,606,43,39,"520","201","31.2","26.2","38.7","18.9","32.1","21.9","4.3","4.4","1641"
"9627",9626,"GM0556","Maassluis","Gemeente","GM0556",".",32450,7226,2700,6015,1333,2070,"3821","189","31","25.2","39.5","19.8","38.2","18.7","7.5","6.6","0556"
"9655",9654,"GM0935","Maastricht","Gemeente","GM0935",".",122753,25047,24625,13158,1806,1637,"2179","186","28.7","24.2","46.8","16.2","54.9","13","10.9","9.8","0935"
"9707",9706,"GM1663","De Marne","Gemeente","GM1663",".",10088,2322,429,177,0,2,"59","139","27","22","44.4","13.4","42.8","13.6","8.1","7.7","1663"
"9741",9740,"GM0025","Marum","Gemeente","GM0025",".",10388,1867,435,217,2,9,"161","215","29.2","23.3","41.4","15.9","32.9","20.8","5.5","4.3","0025"
"9759",9758,"GM0420","Medemblik","Gemeente","GM0420",".",44058,8625,3337,1864,58,439,"363","217","30.3","24.6","40.5","18.1","33.5","23","5.2","5","0420"
"9804",9803,"GM0938","Meerssen","Gemeente","GM0938",".",19072,4831,1824,516,35,28,"708","223","34.1","28.3","37.9","21.7","31.2","24.8","4.3","4.2","0938"
"9822",9821,"GM1948","Meierijstad","Gemeente","GM1948",".",79864,15462,5714,4976,708,1528,"434","255","31.5","25.6","39","18.7","30.8","24","4.3","4","1948"
"9920",9919,"GM1908","Menameradiel","Gemeente","GM1908",".",13454,2714,510,256,4,15,"195","168","28.7","22.9","40.4","16.2","33.1","19","4.8","4.9","1908"
"9946",9945,"GM1987","Menterwolde","Gemeente","GM1987",".",12162,2380,509,332,9,37,"152","147","27.5","22.2","43.5","14.7","39.4","14.9","7.3","7","1987"
"9968",9967,"GM0119","Meppel","Gemeente","GM0119",".",33025,6254,1786,1900,640,34,"594","186","30.2","24","39.5","18","38.8","17.7","7","6.1","0119"
"10029",10028,"GM0687","Middelburg","Gemeente","GM0687",".",48019,10218,4671,4002,266,891,"991","176","30.7","24.8","40.9","19.1","41","17.2","8.2","7.3","0687"
"10060",10059,"GM1842","Midden-Delfland","Gemeente","GM1842",".",19034,3344,1109,968,142,90,"402","286","36.8","29.5","35.2","27.7","23.6","35.7","3.3","3.1","1842"
"10076",10075,"GM1731","Midden-Drenthe","Gemeente","GM1731",".",33399,7372,1465,1109,25,16,"98","196","29.6","24.1","40.2","17.1","33.6","20.3","5.6","4.9","1731"
"10142",10141,"GM0815","Mill en Sint Hubert","Gemeente","GM0815",".",10807,2224,457,206,17,12,"207","243","29","24","41.8","16.4","31.2","23.9","3.9","3.7","0815"
"10162",10161,"GM1709","Moerdijk","Gemeente","GM1709",".",36944,7641,2415,1634,195,344,"232","211","32.4","26","38.5","21.5","32.9","22.5","4.8","4.5","1709"
"10213",10212,"GM1927","Molenwaard","Gemeente","GM1927",".",29212,4964,993,768,77,30,"247","244","32.6","24.5","39.4","21.6","28","27.8","3.9","3.3","1927"
"10255",10254,"GM1955","Montferland","Gemeente","GM1955",".",35316,7877,2931,1223,45,329,"334","196","28.3","23.3","43.2","14.7","35.9","19.2","5.5","5.1","1955"
"10286",10285,"GM0335","Montfoort","Gemeente","GM0335",".",13866,2530,700,641,131,76,"368","262","34.5","27.2","36.3","24","25.4","29.8","3.3","3.4","0335"
"10302",10301,"GM0944","Mook en Middelaar","Gemeente","GM0944",".",7775,1972,769,287,6,10,"447","267","36.1","30","36.3","24.6","28.7","29.2","4.2","3.9","0944"
"10310",10309,"GM1740","Neder-Betuwe","Gemeente","GM1740",".",23303,3809,1061,559,155,24,"388","224","29.5","22.3","43.1","17.9","31.8","23.3","4.9","4.6","1740"
"10332",10331,"GM0946","Nederweert","Gemeente","GM0946",".",16864,3649,1081,387,34,10,"169","237","29.7","24.7","40.8","17.1","32.8","23.4","3.6","3.7","0946"
"10353",10352,"GM0304","Neerijnen","Gemeente","GM0304",".",12344,2098,598,369,91,3,"187","261","33.4","26","39.7","22.7","27.7","29.7","4.5","4","0304"
"10378",10377,"GM0356","Nieuwegein","Gemeente","GM0356",".",61868,11611,6268,9695,2360,746,"2625","203","31.8","25.8","35.2","20","35.3","19.1","6.5","5.7","0356"
"10421",10420,"GM0569","Nieuwkoop","Gemeente","GM0569",".",27914,5398,1639,1117,270,20,"357","275","33.9","27.5","36.9","22.4","27.1","29.2","3.5","3.3","0569"
"10453",10452,"GM0267","Nijkerk","Gemeente","GM0267",".",41775,7561,2229,2527,885,307,"602","268","32","24.9","38.6","20.3","29.9","24.8","4.6","4.1","0267"
"10492",10491,"GM0268","Nijmegen","Gemeente","GM0268",".",173557,26389,20823,23433,3726,5407,"3238","195","29.3","24.2","44.8","18","56.3","13.6","12.2","10.6","0268"
"10546",10545,"GM1930","Nissewaard","Gemeente","GM1930",".",85401,15770,7727,11932,517,1078,"1026","167","32.3","25.9","37.5","22.3","36.9","19.6","7.4","6.8","1930"
"10663",10662,"GM1695","Noord-Beveland","Gemeente","GM1695",".",7382,1943,675,209,11,4,"86","196","29.6","24.9","40.2","16.9","36.7","16.8","5.7","5.2","1695"
"10684",10683,"GM1699","Noordenveld","Gemeente","GM1699",".",32981,8053,1432,2672,18,32,"165","215","31","25.1","40.4","19.4","33.7","20.5","5.9","5.5","1699"
"10725",10724,"GM0171","Noordoostpolder","Gemeente","GM0171",".",46544,7704,3167,3379,583,270,"101","180","28.8","22.5","41.6","16.3","34.9","18.6","6.9","6.2","0171"
"10787",10786,"GM0575","Noordwijk","Gemeente","GM0575",".",25867,5467,3043,1315,279,55,"723","331","37.8","30.8","36","24","33.7","25.7","5.2","4.8","0575"
"10801",10800,"GM0576","Noordwijkerhout","Gemeente","GM0576",".",16318,3333,1775,692,76,14,"722","263","32.2","26.6","38.9","20","33.8","24.5","5.2","4.5","0576"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10822",10821,"GM0302","Nunspeet","Gemeente","GM0302",".",26892,5246,975,794,85,46,"209","259","30.4","23.6","42.2","18.3","31.2","23","4.9","4.3","0302"
"10839",10838,"GM0951","Nuth","Gemeente","GM0951",".",15305,3979,1609,441,42,41,"462","201","31.7","26.6","38.7","19.1","33.7","21.7","4.9","4.3","0951"
"10857",10856,"GM0579","Oegstgeest","Gemeente","GM0579",".",23608,4725,3512,1856,147,121,"3235","337","47.7","36.6","29.8","35.7","25.4","36","4.4","4.1","0579"
"10871",10870,"GM0823","Oirschot","Gemeente","GM0823",".",18499,3740,842,473,8,8,"182","309","33.1","27.2","38.1","20.2","27","29.2","3.6","3.7","0823"
"10891",10890,"GM0824","Oisterwijk","Gemeente","GM0824",".",25936,5987,1675,1229,145,104,"406","307","35.5","29.1","38.6","22.7","30.6","27.7","4.9","4.6","0824"
"10932",10931,"GM1895","Oldambt","Gemeente","GM1895",".",38108,8910,2754,1257,49,71,"168","128","26.2","21.3","46","12.6","46.7","11.2","9.9","8.7","1895"
"10994",10993,"GM0269","Oldebroek","Gemeente","GM0269",".",23256,4133,735,502,6,20,"238","238","28.3","21.9","43.1","16.2","32.1","20.5","4.6","4.2","0269"
"11024",11023,"GM0173","Oldenzaal","Gemeente","GM0173",".",32006,6923,2509,2425,21,1261,"1485","209","29.9","24.1","40.2","17.3","37.1","19.4","6.1","5.7","0173"
"11053",11052,"GM1773","Olst-Wijhe","Gemeente","GM1773",".",17957,3642,797,576,16,148,"158","223","29.9","24.2","39.5","17.7","31.5","22.5","5","4.8","1773"
"11089",11088,"GM0175","Ommen","Gemeente","GM0175",".",17531,3695,801,497,8,13,"97","238","29.7","23.7","40.5","16.1","32","21.6","5.1","4.7","0175"
"11147",11146,"GM0881","Onderbanken","Gemeente","GM0881",".",7865,1748,1356,231,65,10,"372","168","29.3","24","40.6","16.2","35.3","17.8","7","6.2","0881"
"11154",11153,"GM1586","Oost Gelre","Gemeente","GM1586",".",29634,6063,1541,928,158,127,"270","200","29.4","24.3","39.5","15.7","31.5","21.7","3.8","3.6","1586"
"11203",11202,"GM0826","Oosterhout","Gemeente","GM0826",".",54604,11735,4895,5740,1600,1557,"764","217","32","26","39.8","20.2","36","20.7","6","5.8","0826"
"11262",11261,"GM0085","Ooststellingwerf","Gemeente","GM0085",".",25540,5799,1127,583,16,15,"114","176","27.2","22","43.6","13.7","38.8","15.7","7.5","6.6","0085"
"11296",11295,"GM0431","Oostzaan","Gemeente","GM0431",".",9652,1906,615,648,51,117,"837","271","34.9","28.2","35","24.7","27.7","30.2","3.4","3.5","0431"
"11302",11301,"GM0432","Opmeer","Gemeente","GM0432",".",11420,2326,535,311,19,8,"275","232","29.6","24.4","40.3","17.7","30.2","24.3","4.3","4","0432"
"11317",11316,"GM0086","Opsterland","Gemeente","GM0086",".",29718,6002,1052,752,22,24,"132","200","28.8","22.8","42.4","16","35.6","19.5","6.9","6.2","0086"
"11353",11352,"GM0828","Oss","Gemeente","GM0828",".",90376,17162,7467,8508,457,4199,"554","210","30.4","24.7","40.2","18.3","36.3","20.5","6.5","5.7","0828"
"11483",11482,"GM0584","Oud-Beijerland","Gemeente","GM0584",".",24015,4724,1433,979,80,33,"1282","229","35.1","27.5","36.3","24.8","28.8","26.6","4.5","4.1","0584"
"11498",11497,"GM1509","Oude IJsselstreek","Gemeente","GM1509",".",39568,8774,2813,2443,26,1582,"290","193","27.6","22.4","43.4","13.6","37.7","16.9","6.2","5.8","1509"
"11535",11534,"GM0437","Ouder-Amstel","Gemeente","GM0437",".",13419,2696,1665,1644,134,75,"557","313","42.8","33.8","32.4","30.9","31.4","32.6","5.2","4.9","0437"
"11544",11543,"GM0589","Oudewater","Gemeente","GM0589",".",10187,2029,475,366,72,14,"261","282","35.3","28.1","36.3","23.2","29.4","29.2","3.9","3.8","0589"
"11567",11566,"GM1734","Overbetuwe","Gemeente","GM1734",".",47394,8525,3337,1914,126,302,"434",".","32.7","25.7","37.3","21.7","29.6","25.5","4.9","4.3","1734"
"11605",11604,"GM0590","Papendrecht","Gemeente","GM0590",".",32292,6816,2637,2944,427,366,"3430","193","32.8","26.2","37.7","22.3","32.5","22","5.3","4.5","0590"
"11615",11614,"GM1894","Peel en Maas","Gemeente","GM1894",".",43347,9025,3133,1553,381,290,"272","228","29.2","24.3","41.3","16.4","31.1","22.7","4.1","3.9","1894"
"11654",11653,"GM0765","Pekela","Gemeente","GM0765",".",12517,2672,725,493,7,42,"255","127","24.5","19.7","48.4","10.3","45.8","10.2","9.3","8","0765"
"11662",11661,"GM1926","Pijnacker-Nootdorp","Gemeente","GM1926",".",52656,7473,4417,6080,575,584,"1411","270","38.1","28.9","33.1","29.7","24","35.5","3.8","3.3","1926"
"11695",11694,"GM0439","Purmerend","Gemeente","GM0439",".",79928,15059,7171,13190,1313,1072,"3446","191","30.8","25.2","37.5","18.8","37.2","19.8","6.8","6.4","0439"
"11730",11729,"GM0273","Putten","Gemeente","GM0273",".",24428,4774,1185,707,65,87,"287","297","31.4","24.7","41.4","18.9","31","24.8","4.8","4.4","0273"
"11746",11745,"GM0177","Raalte","Gemeente","GM0177",".",36904,7604,1216,1033,10,286,"216","228","29.3","23.8","40.1","16.7","31.7","21.8","4.4","4.3","0177"
"11803",11802,"GM0703","Reimerswaal","Gemeente","GM0703",".",22356,3704,2023,902,43,201,"220","190","29.1","22","42.8","18.1","33.8","19.8","5.1","5.1","0703"
"11839",11838,"GM0274","Renkum","Gemeente","GM0274",".",31391,8345,3027,1691,69,325,"683","248","36.4","29.7","36.4","24.7","35.5","23.2","6.7","6.3","0274"
"11906",11905,"GM0339","Renswoude","Gemeente","GM0339",".",5101,750,186,114,5,4,"277","279","34","25.4","37.4","22.9","23.6","30.4","3.6","3.6","0339"
"11910",11909,"GM1667","Reusel-De Mierden","Gemeente","GM1667",".",12908,2307,795,322,9,6,"166","263","31.2","25.4","37.4","18.6","26.6","25.7","3.5","3.2","1667"
"11926",11925,"GM0275","Rheden","Gemeente","GM0275",".",43645,11185,3932,3028,246,1040,"534","203","31.1","25.6","41.3","18.1","42.8","16.8","8.1","6.8","0275"
"11953",11952,"GM0340","Rhenen","Gemeente","GM0340",".",19601,4078,1080,1011,391,35,"466","241","32.3","25.1","39.4","20.8","32.8","23.5","5.3","4.4","0340"
"11998",11997,"GM0597","Ridderkerk","Gemeente","GM0597",".",45408,10930,3517,4569,558,732,"1915","188","31","25.3","39.8","19","38","18.6","5.8","5.3","0597"
"12023",12022,"GM0196","Rijnwaarden","Gemeente","GM0196",".",10852,2208,1005,296,6,35,"274","170","27.5","22.3","42.9","14.7","38.8","16.8","6.6","6.1","0196"
"12044",12043,"GM1742","Rijssen-Holten","Gemeente","GM1742",".",37986,6784,1102,1825,14,964,"404","221","29.2","22.1","43.1","16.5","29.7","22.2","4.1","4","1742"
"12088",12087,"GM0603","Rijswijk","Gemeente","GM0603",".",51027,11431,7806,9510,1526,706,"3632","192","34.2","27.6","35.2","23","43","17.9","8.1","7.5","0603"
"12132",12131,"GM1669","Roerdalen","Gemeente","GM1669",".",20700,5128,2846,664,58,25,"235","202","30","25.1","40.2","17.4","34","19.3","4.7","4.5","1669"
"12163",12162,"GM0957","Roermond","Gemeente","GM0957",".",57390,11409,8392,8005,2017,2138,"943","178","29.7","24.3","40.8","16.6","44.9","15.2","9.5","8.8","0957"
"12209",12208,"GM0736","De Ronde Venen","Gemeente","GM0736",".",42763,8524,3689,2969,643,239,"428",".","39.2","31.5","35.8","26.3","28.4","32","4.5","4.3","0736"
"12243",12242,"GM1674","Roosendaal","Gemeente","GM1674",".",77163,15805,8159,10489,4031,2262,"725",".","30.5","24.6","40.5","18.4","38.8","18.7","7.8","7","1674"
"12313",12312,"GM0599","Rotterdam","Gemeente","GM0599",".",634660,96045,78789,240571,43555,47772,"2943","153","29.9","23.7","45","18","53.8","13.3","14.8","14.4","0599"
"12428",12427,"GM0277","Rozendaal","Gemeente","GM0277",".",1498,409,147,72,0,0,"54","461","52","40.9","30.4","38.9","16.2","48.1","2.1","2.1","0277"
"12432",12431,"GM0840","Rucphen","Gemeente","GM0840",".",22345,4805,1431,579,69,27,"347","238","28.8","24","43.3","16.3","34.8","20.4","5.2","4.9","0840"
"12449",12448,"GM0441","Schagen","Gemeente","GM0441",".",46193,10460,3099,1836,31,49,"275","225","30.8","25.4","39.6","18.8","33.2","22.8","4.7","4.5","0441"
"12492",12491,"GM0279","Scherpenzeel","Gemeente","GM0279",".",9704,1775,416,275,44,8,"704","260","30.8","23.7","39.3","19.6","29.2","23.7","4","3.4","0279"
"12497",12496,"GM0606","Schiedam","Gemeente","GM0606",".",77838,13282,9405,22260,2646,7890,"4323","149","29.7","23.5","41.3","17.8","46.6","14.6","10.4","9.7","0606"
"12560",12559,"GM0088","Schiermonnikoog","Gemeente","GM0088",".",941,261,68,17,0,0,"25","237","29.5","25.3","39.6","16.5","41.2","16.3","6.2","6","0088"
"12564",12563,"GM0962","Schinnen","Gemeente","GM0962",".",12954,3249,1633,391,40,20,"538","190","32.4","26.8","37.7","20.4","31","23","4.5","4.2","0962"
"12578",12577,"GM1676","Schouwen-Duiveland","Gemeente","GM1676",".",33765,8809,2207,953,23,47,"147","231","31.4","26.2","41.8","18.9","35.5","20.4","5.6","5.8","1676"
"12646",12645,"GM0965","Simpelveld","Gemeente","GM0965",".",10571,2624,1679,188,6,6,"659","166","29.3","24.7","39.6","16.1","37.7","17.3","4.8","4.6","0965"
"12658",12657,"GM1702","Sint Anthonis","Gemeente","GM1702",".",11595,2349,479,243,2,2,"117","260","31.2","25.8","39.8","18.8","28.3","27.5","3.7","4.1","1702"
"12679",12678,"GM0845","Sint-Michielsgestel","Gemeente","GM0845",".",28584,6008,1459,855,52,31,"489","291","34.5","27.7","37.8","22.8","27.3","29.9","3.9","3.6","0845"
"12708",12707,"GM1883","Sittard-Geleen","Gemeente","GM1883",".",93319,20865,14115,6323,1860,543,"1181","159","30","24.9","41.5","17.1","44","15.6","9","8","1883"
"12754",12753,"GM0610","Sliedrecht","Gemeente","GM0610",".",25012,4795,1199,2219,167,600,"1949","178","30.2","23.3","40.2","18.6","37.9","18.7","7.1","6","0610"
"12792",12791,"GM0040","Slochteren","Gemeente","GM0040",".",14737,2869,628,323,4,16,"110","188","30.2","24","39.8","19.1","32.8","20.7","5.9","5.2","0040"
"12826",12825,"GM1714","Sluis","Gemeente","GM1714",".",23658,6403,5636,662,29,49,"85","189","29.5","24.8","42.6","17.2","40.4","17.9","6.5","6.4","1714"
"12877",12876,"GM0090","Smallingerland","Gemeente","GM0090",".",55695,11223,2874,3017,201,92,"473","163","27.9","22.2","43.8","14.5","41.8","14.3","9.2","7.9","0090"
"12911",12910,"GM0342","Soest","Gemeente","GM0342",".",45874,10106,4031,5436,722,2285,"992","273","36.5","29.1","36.7","24.3","32.2","26.4","6.1","5.5","0342"
"12949",12948,"GM0847","Someren","Gemeente","GM0847",".",19036,3659,1325,441,58,15,"237","258","29.9","24.6","41.6","17.2","33.1","23.6","4.7","4.7","0847"
"12967",12966,"GM0848","Son en Breugel","Gemeente","GM0848",".",16626,3747,1393,608,29,44,"641","282","37.3","29.7","35.5","26.2","24.7","29.7","4","3.9","0848"
"12978",12977,"GM0037","Stadskanaal","Gemeente","GM0037",".",32252,7798,1500,1066,30,16,"274","143","25.2","20.5","48.1","11.2","46.9","11.7","9","7.6","0037"
"13011",13010,"GM0180","Staphorst","Gemeente","GM0180",".",16691,2508,342,268,1,7,"124","245","28","20.7","43.3","15.1","26.2","25.9","4.2","3.9","0180"
"13045",13044,"GM0532","Stede Broec","Gemeente","GM0532",".",21552,4416,1626,1035,102,81,"1481","191","28.7","23.3","41.1","15.7","33","18.7","4.5","3.8","0532"
"13055",13054,"GM0851","Steenbergen","Gemeente","GM0851",".",23970,4986,2473,800,73,29,"164","202","31","25.4","40","19.2","34.3","20.9","5","4.6","0851"
