"","gemeente_id","gemeente_district_and_neighborhood","gemeente_municipality","gemeente_type_region","gemeente_code","gemeente_change_in_layout","gemeente_number_of_inhabitants","gemeente_n_Sixty_Five_Years_Or_Older","gemeente_WesternTotal","gemeente_Non_Western_Total","gemeente_Morocco","gemeente_Turkey","gemeente_Population_Density","gemeente_Average_Home_Value","gemeente_Average_Income_Per_Income_Recipient","gemeente_Average_Income_Per_Inhabitant","gemeente_40_Lowest_Income_People","gemeente_20_Persons_With_Highest_Income","gemeente_40_Lowest_Income_Households","gemeente_20_House_holds_With_Highest_Income","gemeente_low_income_households","gemeente_House_hold_Under_Or_Around_Social_Minimum","gemeente_code_four_digits"
"2134",2133,"GM0893","Bergen (L.)","Gemeente","GM0893",".",13095,2893,1683,325,36,3,"127","205","28.4","23.7","42.4","14.5","33.5","19.3","5.1","4.9","0893"
"2158",2157,"GM0373","Bergen (NH.)","Gemeente","GM0373",".",29844,9155,2771,1021,26,29,"307","355","37.8","31.5","39","23.5","31.5","27","4.8","4.8","0373"
"2202",2201,"GM0748","Bergen op Zoom","Gemeente","GM0748",".",66164,13566,6465,9574,3381,3159,"828",".","30.9","25","40.5","19.1","38.6","18.8","7.8","7.2","0748"
"2247",2246,"GM1859","Berkelland","Gemeente","GM1859",".",44238,10314,2222,1202,116,178,"171","202","28.5","23.4","41.5","15.2","33.5","20","4.7","4.6","1859"
"2289",2288,"GM1721","Bernheze","Gemeente","GM1721",".",30253,5952,1703,772,20,118,"337",".","31.7","25.6","39.9","19.6","28.1","28.2","4","3.7","1721"
"2349",2348,"GM0753","Best","Gemeente","GM0753",".",29180,5293,2568,1905,131,590,"851","265","34.6","27.8","37.9","23.1","28.1","27.9","4.6","4.2","0753"
"2368",2367,"GM0209","Beuningen","Gemeente","GM0209",".",25424,4573,1896,1179,63,126,"582","225","32.6","26.5","37.6","20.6","30.8","24.4","5.4","4.8","0209"
"2417",2416,"GM0375","Beverwijk","Gemeente","GM0375",".",40709,7184,4856,5783,460,2182,"2223","183","31","24.9","37.3","19.3","40.6","17.3","7.8","6.9","0375"
"2465",2464,"GM0063","het Bildt","Gemeente","GM0063",".",10493,2146,549,469,8,10,"114","144","25.9","20.7","44.5","12","42","15","7.4","7","0063"
"2485",2484,"GM0310","De Bilt","Gemeente","GM0310",".",42754,10017,4089,3232,947,161,"647","344","42","33.2","34.3","28.4","33.1","30.4","6","5.3","0310"
"2509",2508,"GM0585","Binnenmaas","Gemeente","GM0585",".",29122,6483,1463,1216,42,46,"420","231","35.8","28.6","35.5","25.3","28.5","26.2","3.4","3.3","0585"
"2557",2556,"GM1728","Bladel","Gemeente","GM1728",".",20063,4110,1366,581,23,17,"266","269","30.9","25.3","39.2","18.5","29.9","23.6","4.4","3.9","1728"
"2578",2577,"GM0376","Blaricum","Gemeente","GM0376",".",10201,2670,1145,763,186,55,"915","531","57","44.2","33.3","31.1","26","35.7","5.3","4.9","0376"
