"","wijk_id","wijk_district_and_neighborhood","wijk_municipality","wijk_type_region","wijk_code","wijk_change_in_layout","wijk_number_of_inhabitants","wijk_n_Sixty_Five_Years_Or_Older","wijk_WesternTotal","wijk_Non_Western_Total","wijk_Morocco","wijk_Turkey","wijk_Population_Density","wijk_Average_Home_Value","wijk_Average_Income_Per_Income_Recipient","wijk_Average_Income_Per_Inhabitant","wijk_40_Lowest_Income_People","wijk_20_Persons_With_Highest_Income","wijk_40_Lowest_Income_Households","wijk_20_House_holds_With_Highest_Income","wijk_low_income_households","wijk_House_hold_Under_Or_Around_Social_Minimum","wijk_code_six_digits"
"12643",12642,"WK167615","Schouwen-Duiveland","Wijk","WK167615","1",260,85,30,5,0,0,"69","231","33.2","29.7","41.7","16.5","38.4","14.5","3.6","4.4","167615"
"12647",12646,"WK096500","Simpelveld","Wijk","WK096500","1",5420,1460,780,125,5,5,"631","171","29.6","25.1","40.1","16.3","40.3","16.8","5.6","5.2","096500"
"12653",12652,"WK096501","Simpelveld","Wijk","WK096501","1",5150,1160,905,70,5,5,"693","161","29","24.2","39.1","15.9","34.6","17.8","4","4","096501"
"12659",12658,"WK170200","Sint Anthonis","Wijk","WK170200","1",4775,1115,215,145,0,0,"203","256","31.4","26.3","40.7","19.1","30.4","26","4.1","4.4","170200"
"12664",12663,"WK170201","Sint Anthonis","Wijk","WK170201","1",1835,315,80,45,0,0,"86","267","31.7","26","38","19","27.6","29.2","4","3.7","170201"
"12667",12666,"WK170202","Sint Anthonis","Wijk","WK170202","1",625,95,20,5,0,0,"76","280","32.6","25.3","30.8","20.7","20","28.3","2.5","1.7","170202"
"12670",12669,"WK170203","Sint Anthonis","Wijk","WK170203","1",690,120,50,20,0,0,"99","257","31.1","25.8","39.7","17.9","27.3","28.8","4.1","3.3","170203"
"12673",12672,"WK170204","Sint Anthonis","Wijk","WK170204","1",2970,575,75,25,0,0,"145","261","30.1","25.1","42.1","18","28","28.5","3.7","4.8","170204"
"12676",12675,"WK170205","Sint Anthonis","Wijk","WK170205","1",710,120,40,10,0,0,"38","258","31.8","26.2","36.4","18.4","24.1","29.1","1.5","2.9","170205"
"12680",12679,"WK084500","Sint-Michielsgestel","Wijk","WK084500","1",10410,2365,640,400,20,20,"680","277","35.4","28.6","37.8","23","29.5","28.3","4.5","4.3","084500"
"12688",12687,"WK084501","Sint-Michielsgestel","Wijk","WK084501","1",2235,410,90,35,10,0,"211","348","34","26.9","38.1","22.1","22.4","36.4","2.5","2.2","084501"
"12692",12691,"WK084502","Sint-Michielsgestel","Wijk","WK084502","1",6215,1205,280,130,10,5,"565","300","34.1","27.6","38","22.2","27.6","31.1","3.3","2.8","084502"
"12698",12697,"WK084503","Sint-Michielsgestel","Wijk","WK084503","1",7690,1605,355,260,15,10,"508","282","34.1","27.2","37.3","22.9","27.3","29","4.2","3.7","084503"
"12704",12703,"WK084504","Sint-Michielsgestel","Wijk","WK084504","1",2025,420,100,40,5,0,"319","322","33.4","26.4","38.3","23.6","20.5","32","3.3","3.8","084504"
"12709",12708,"WK188300","Sittard-Geleen","Wijk","WK188300","1",6035,1160,900,625,130,40,"1904","150","29.8","23.8","41.6","18.2","46.1","15","11","10.2","188300"
"12712",12711,"WK188301","Sittard-Geleen","Wijk","WK188301","1",12180,3310,1940,650,190,20,"1765","183","34.2","29.5","41","20","48.1","17.5","9.7","8.5","188301"
"12718",12717,"WK188302","Sittard-Geleen","Wijk","WK188302","1",19275,3500,3325,1435,335,60,"2435","147","28.2","23.2","43.6","15.5","48.4","13.6","11.9","10","188302"
"12727",12726,"WK188303","Sittard-Geleen","Wijk","WK188303","1",4610,1290,600,85,25,15,"994","192","32.3","27.5","38.4","21.6","30.4","21.5","3.4","3.8","188303"
"12730",12729,"WK188304","Sittard-Geleen","Wijk","WK188304","1",5070,1220,565,75,15,5,"576","199","33.3","27.6","36.6","21.8","27.3","23.6","3.5","3","188304"
"12734",12733,"WK188305","Sittard-Geleen","Wijk","WK188305","1",31975,7350,5065,3035,1095,375,"1634","139","27.9","23.2","43.3","14.5","48.2","12.2","10.3","9.2","188305"
"12742",12741,"WK188306","Sittard-Geleen","Wijk","WK188306","1",9100,1945,1090,275,55,25,"455","179","31.4","25.6","37.8","19.6","32.4","21","3.8","3.7","188306"
"12750",12749,"WK188307","Sittard-Geleen","Wijk","WK188307","1",4895,1105,510,80,10,0,"609","187","31.6","26.4","38.1","19","31.7","20.5","3.1","3.3","188307"
"12755",12754,"WK061001","Sliedrecht","Wijk","WK061001","1",5785,725,290,405,40,60,"3220","199","32.9","24.3","34.2","23.5","21.8","25.3","3.5","3.4","061001"
"12765",12764,"WK061002","Sliedrecht","Wijk","WK061002","1",10025,2170,475,920,70,295,"6161","166","28.4","22.4","42.1","15.7","43.9","14.2","8.7","7.2","061002"
"12777",12776,"WK061003","Sliedrecht","Wijk","WK061003","1",8985,1865,420,890,55,240,"6953","183","30.6","23.7","41.2","19.1","39.5","20.5","7.1","6","061003"
"12785",12784,"WK061004","Sliedrecht","Wijk","WK061004","1",210,35,10,0,0,0,"26","195","29","22.3","42.9","17.4",".",".",".",".","061004"
"12793",12792,"WK004000","Slochteren","Wijk","WK004000","1",4390,915,190,95,0,5,"120","167","28.1","22.6","41.9","15.6","36.3","15.6","6.7","5.5","004000"
"12803",12802,"WK004001","Slochteren","Wijk","WK004001","1",2245,350,80,55,0,5,"84","194","31.6","23.9","37.8","21","31.3","22.6","6.5","5.2","004001"
"12809",12808,"WK004002","Slochteren","Wijk","WK004002","1",3745,860,100,65,0,5,"113","170","27.4","22.3","43.7","15.6","36","17","6","5.9","004002"
"12816",12815,"WK004003","Slochteren","Wijk","WK004003","3",3790,645,225,95,5,0,"232","228","34.6","26.8","35.1","25.5","25.6","29.5","4.5","4.2","004003"
"12823",12822,"WK004004","Slochteren","Wijk","WK004004","1",565,95,20,10,0,0,"26","193","31.9","26.5","35.8","21","33.2","24.1","5.2","4.4","004004"
"12827",12826,"WK171400","Sluis","Wijk","WK171400","1",2395,680,880,100,5,5,"104","218","29.2","24.3","44.5","16.6","42.8","17.9","8.3","8.9","171400"
"12831",12830,"WK171401","Sluis","Wijk","WK171401","1",330,105,90,5,0,0,"33","307","26.3","22.7","44.6","14.6","43.5","19.9","11.8","10.5","171401"
"12834",12833,"WK171402","Sluis","Wijk","WK171402","1",2500,640,925,95,5,0,"79","181","29","24.1","42.2","16.7","43.1","18.1","8.1","8","171402"
"12837",12836,"WK171403","Sluis","Wijk","WK171403","1",885,190,525,15,5,0,"107","204","28.5","22.5","40.4","14.9","39.5","17.3","6","6.6","171403"
"12840",12839,"WK171404","Sluis","Wijk","WK171404","1",225,45,85,0,0,0,"24","245","29.4","24.8","39.2","22.2",".",".",".",".","171404"
"12843",12842,"WK171405","Sluis","Wijk","WK171405","1",4735,1350,920,180,5,10,"184","167","28","24","44.2","15.3","43.7","14.2","7.2","7","171405"
"12846",12845,"WK171406","Sluis","Wijk","WK171406","1",560,135,135,5,0,0,"40","181","29.6","24.5","38.7","14.5","38.7","18.1","6.9","6.5","171406"
"12849",12848,"WK171407","Sluis","Wijk","WK171407","1",735,215,170,15,0,0,"50","262","31.9","27.6","44.8","17.5","43.2","20.2","9.9","7.9","171407"
"12853",12852,"WK171408","Sluis","Wijk","WK171408","1",425,120,70,5,0,0,"35","210","29.1","24.8","42.9","17.9","36.2","22.4","7.4","7.9","171408"
"12857",12856,"WK171409","Sluis","Wijk","WK171409","1",975,250,125,15,0,0,"52","188","29.8","25.1","41.3","17.8","38","19","4.4","4.9","171409"
"12860",12859,"WK171410","Sluis","Wijk","WK171410","1",4700,1360,665,150,10,30,"337","176","30.2","25.7","43","18.1","41.2","17.9","5.4","5.5","171410"
"12863",12862,"WK171411","Sluis","Wijk","WK171411","1",860,250,145,5,0,0,"43","164","30.1","26.3","44.7","18","39.2","19.1","5.8","6.9","171411"
"12868",12867,"WK171412","Sluis","Wijk","WK171412","1",2410,625,520,30,0,0,"51","191","32.3","26.8","39.6","21.6","33.6","22.2","4.6","4.3","171412"
"12871",12870,"WK171413","Sluis","Wijk","WK171413","1",1430,320,280,40,0,10,"106","140","28.7","23","41.3","15.8","34.5","16.3","4.5","3.6","171413"
"12874",12873,"WK171414","Sluis","Wijk","WK171414","1",510,120,120,10,5,0,"30","196","29.9","24.7","37.7","18.1","35.4","19.4","5.9","4.6","171414"
"12878",12877,"WK009000","Smallingerland","Wijk","WK009000","1",44940,9215,2570,2685,190,85,"1940","151","27.4","21.8","44.1","14","44.1","12.6","10","8.6","009000"
"12897",12896,"WK009001","Smallingerland","Wijk","WK009001","1",10755,2005,300,330,5,0,"114","224","29.8","23.7","42.4","16.5","30.6","22.9","5.6","4.9","009001"
"12912",12911,"WK034201","Soest","Wijk","WK034201","1",9325,2365,865,590,100,125,"2253","315","40.8","33","35","28.8","27.6","31.4","4.5","4.3","034201"
"12916",12915,"WK034202","Soest","Wijk","WK034202","1",3315,880,285,370,40,135,"8982","173","27.9","23.1","40.6","15.2","45.4","11.7","6.7","6.8","034202"
"12918",12917,"WK034203","Soest","Wijk","WK034203","1",2500,280,190,305,15,175,"825","314","39.6","29.7","33.4","29.5","18.3","38.5","3.1","2.8","034203"
"12923",12922,"WK034204","Soest","Wijk","WK034204","1",6090,1470,500,1285,180,835,"1206","260","34.9","27.7","39.1","22.7","40","22.5","8.8","7.4","034204"
"12929",12928,"WK034205","Soest","Wijk","WK034205","1",4840,920,385,1510,120,710,"8105","184","28.3","22.3","45.6","16.3","45.6","15.2","13.5","12","034205"
"12931",12930,"WK034206","Soest","Wijk","WK034206","1",7320,1630,600,625,55,245,"1330","270","34.7","28","36","21.9","29.2","25.5","4","3.9","034206"
"12937",12936,"WK034207","Soest","Wijk","WK034207","1",6005,1480,615,250,35,45,"274","408","46.9","37.2","33","34.3","19.7","41.9","3.8","3.1","034207"
"12944",12943,"WK034208","Soest","Wijk","WK034208","1",6470,1095,595,515,185,25,"1151","227","33.9","26.8","33.7","21.9","31.8","24","5.3","4.5","034208"
"12950",12949,"WK084700","Someren","Wijk","WK084700","1",11980,2580,785,370,55,10,"691","243","29.4","24.4","42.3","16.9","35.5","21.2","5.1","5.2","084700"
"12954",12953,"WK084701","Someren","Wijk","WK084701","1",2145,350,95,15,5,5,"103","304","34.1","27.4","39.1","20.7","25.9","31.8","3.3","3.4","084701"
"12958",12957,"WK084702","Someren","Wijk","WK084702","1",3455,520,335,40,0,10,"198","267","28.5","23.6","40.5","15.6","31.5","24.1","4.1","3.7","084702"
"12962",12961,"WK084703","Someren","Wijk","WK084703","1",1380,195,110,25,5,0,"60","319","31.5","25.2","41.8","18","25.3","32.4","5.2","5.2","084703"
"12965",12964,"WK084709","Someren","Wijk","WK084709","1",70,10,5,0,0,0,"52",".",".",".",".",".",".",".",".",".","084709"
"12968",12967,"WK084800","Son en Breugel","Wijk","WK084800","1",11825,2830,1060,420,20,40,"608","303","39.6","31.7","34.9","28.5","24.2","32.9","3.6","3.5","084800"
"12974",12973,"WK084801","Son en Breugel","Wijk","WK084801","1",4795,915,340,190,10,10,"738","230","31.7","24.7","37","20.3","26","21.5","5","4.9","084801"
"12979",12978,"WK003701","Stadskanaal","Wijk","WK003701","1",19415,4885,1020,685,25,10,"823","139","25.1","20.6","49.1","11.1","49.7","10.9","10.1","8.4","003701"
"12993",12992,"WK003702","Stadskanaal","Wijk","WK003702","1",7235,1700,320,310,5,0,"637","135","23.9","19.4","48.6","9.1","47.5","9.5","8.4","7.7","003702"
"12998",12997,"WK003703","Stadskanaal","Wijk","WK003703","1",2875,735,75,25,0,0,"72","173","26","20.7","47.5","13.3","38.8","16.8","5.9","4.9","003703"
"13003",13002,"WK003704","Stadskanaal","Wijk","WK003704","1",1565,250,40,30,0,0,"55","179","29","22.3","39.5","15.2","28.4","22.1","3.9","3.4","003704"
"13008",13007,"WK003705","Stadskanaal","Wijk","WK003705","1",1155,220,35,10,0,0,"80","164","28.1","22.6","41.1","14.7","33.3","17.2","5.6","4.4","003705"
"13012",13011,"WK018000","Staphorst","Wijk","WK018000","1",8780,1310,210,195,0,0,"1294","233","26.8","19.6","44.7","13.6","28.8","22.4","4.7","4.4","018000"
"13021",13020,"WK018001","Staphorst","Wijk","WK018001","1",3355,420,25,45,0,0,"436","239","28","20.1","40.9","14.8","20.4","27.9","1.5","1.9","018001"
"13025",13024,"WK018002","Staphorst","Wijk","WK018002","1",400,35,0,0,0,0,"10","251","30.7","22.8","37","16.8","16.4","45.1","5","4.1","018002"
"13030",13029,"WK018003","Staphorst","Wijk","WK018003","1",1305,195,5,0,0,0,"38","297","28.7","20.4","46.1","16.9","18.4","41.4","3.3","3.3","018003"
"13036",13035,"WK018004","Staphorst","Wijk","WK018004","1",1485,340,70,10,0,0,"66","264","31.1","26","42.2","18.4","32.5","21.1","7.2","6","018004"
"13039",13038,"WK018005","Staphorst","Wijk","WK018005","1",930,135,10,10,0,0,"65","306","29.8","22.9","42","18.9","20.8","33.2","3.5","2.9","018005"
"13041",13040,"WK018006","Staphorst","Wijk","WK018006","1",345,50,0,0,0,0,"73","255","30.3","22.5","37.6","17.6","23.5","33.9","5.2","2.6","018006"
"13043",13042,"WK018007","Staphorst","Wijk","WK018007","1",80,5,5,0,0,0,"16",".",".",".",".",".",".",".",".",".","018007"
"13046",13045,"WK053200","Stede Broec","Wijk","WK053200","1",10815,2105,820,415,35,30,"1209","193","29.2","23.7","40.1","16.1","32.8","19","4.3","3.8","053200"
"13050",13049,"WK053201","Stede Broec","Wijk","WK053201","1",10735,2310,805,615,65,50,"1914","189","28.2","22.9","42.1","15.2","33.2","18.5","4.7","3.8","053201"
"13056",13055,"WK085100","Steenbergen","Wijk","WK085100","1",13180,2745,1690,455,40,20,"405","199","30.6","25.2","40.6","18.8","35.4","20.2","5.3","4.7","085100"
"13065",13064,"WK085101","Steenbergen","Wijk","WK085101","1",2360,475,160,35,10,10,"73","253","34.6","28.3","37.3","20.8","26.9","26.1","3.4","2.7","085101"
"13068",13067,"WK085102","Steenbergen","Wijk","WK085102","1",525,95,40,10,0,0,"31","210","30.1","24.5","40.8","19","28.6","24.4","6","4.7","085102"
"13071",13070,"WK085103","Steenbergen","Wijk","WK085103","1",5535,1155,350,240,30,5,"115","190","30.6","24.6","40.2","19.5","36.3","19.5","5.2","5.3","085103"
"13076",13075,"WK085104","Steenbergen","Wijk","WK085104","1",2360,505,240,70,5,5,"146","194","30.6","25.2","39.2","19.5","31.6","22.7","3.9","4","085104"
"13080",13079,"WK170800","Steenwijkerland","Wijk","WK170800","1",24710,5225,1160,1265,40,270,"301","177","27.5","22.1","44","14.7","42","14.8","8.2","7","170800"
"13108",13107,"WK170802","Steenwijkerland","Wijk","WK170802","1",3010,660,95,20,0,0,"154","201","27.5","22.2","41.5","14.5","29","17.7","2.9","2.7","170802"
"13113",13112,"WK170803","Steenwijkerland","Wijk","WK170803","1",760,185,25,5,0,0,"30","220","30.8","25.8","38.9","16.4","31.9","18","3.7","4.5","170803"
"13118",13117,"WK170804","Steenwijkerland","Wijk","WK170804","1",965,150,35,20,0,0,"75","162","26.8","20.9","43.6","13.5","35.1","18.2","4.5","4.5","170804"
"13122",13121,"WK170805","Steenwijkerland","Wijk","WK170805","1",365,70,20,5,0,0,"21","226","33","26.8","35.5","20.6","19","28.6","1.4","2","170805"
"13126",13125,"WK170806","Steenwijkerland","Wijk","WK170806","1",690,155,20,5,0,0,"29","238","30.5","25.2","44.6","16.1","33.2","20.1","4.1","3.1","170806"
"13132",13131,"WK170807","Steenwijkerland","Wijk","WK170807","1",4195,815,200,130,15,0,"554","173","26.8","21.2","42.1","14.9","37.3","16.6","5.3","4.8","170807"
"13136",13135,"WK170808","Steenwijkerland","Wijk","WK170808","1",1530,260,50,40,0,5,"172","213","28.1","21.2","44.2","14.6","31.4","20.2","4.4","4.6","170808"
"13140",13139,"WK170809","Steenwijkerland","Wijk","WK170809","1",950,150,15,5,0,0,"78","277","30.4","23.4","43.9","19.3","16.2","35.3","1.3","1.6","170809"
"13145",13144,"WK170810","Steenwijkerland","Wijk","WK170810","1",565,100,10,0,0,0,"82","260","31.9","26.4","41.7","19.2","20.1","25.8","1.8","1.8","170810"
"13147",13146,"WK170811","Steenwijkerland","Wijk","WK170811","1",1275,280,50,30,5,0,"108","197","31.1","24.7","40.4","19.4","32.3","21","4","4.9","170811"
"13152",13151,"WK170812","Steenwijkerland","Wijk","WK170812","1",380,75,10,5,0,0,"28","278","32","26.5","41.1","21.7","23","31.6","2.6","2.6","170812"
"13157",13156,"WK170813","Steenwijkerland","Wijk","WK170813","1",1235,340,50,20,0,0,"155","250","33.2","28.1","41.3","18.4","32.2","25","3.9","4.3","170813"
"13161",13160,"WK170814","Steenwijkerland","Wijk","WK170814","1",1335,295,60,25,0,5,"69","259","32.2","25.7","42.3","20.3","33.5","25.5","5.4","5.4","170814"
"13166",13165,"WK170815","Steenwijkerland","Wijk","WK170815","1",130,40,10,5,0,0,"21","330","37.8","33.4","42.6","20.9",".",".",".",".","170815"
"13169",13168,"WK170816","Steenwijkerland","Wijk","WK170816","1",1375,345,80,10,0,0,"93","196","28.8","23.6","43.1","17","34","19","5.6","5.6","170816"
"13174",13173,"WK097100","Stein","Wijk","WK097100","1",10880,2960,1255,425,125,5,"1259","177","29","24.3","41.8","16.4","38.9","15.9","4.9","4.8","097100"
"13181",13180,"WK097101","Stein","Wijk","WK097101","1",8610,2025,855,175,25,5,"1092","192","31.4","26","38.5","19.4","29.9","21.5","4","3.8","097101"
"13185",13184,"WK097102","Stein","Wijk","WK097102","1",5565,1325,665,150,45,0,"1218","185","30.2","25.2","38.7","18.2","34","17.7","4.5","3.7","097102"
"13191",13190,"WK190401","Stichtse Vecht","Wijk","WK190401","1",15735,3505,1245,900,210,65,"1675",".","43.3","34.2","32.8","30.9","29.1","34.3","3.9","4","190401"
"13211",13210,"WK190402","Stichtse Vecht","Wijk","WK190402","1",10845,2280,1000,790,125,20,"598",".","37.7","30","37","25.6","34.7","27.5","5.2","5.2","190402"
"13228",13227,"WK190403","Stichtse Vecht","Wijk","WK190403","1",4390,970,405,255,20,35,"555",".","45.5","35.1","35.5","28.6","31.5","33.2","6.5","6","190403"
"13241",13240,"WK190404","Stichtse Vecht","Wijk","WK190404","1",695,115,35,15,0,0,"95",".","39.5","29","38.3","24","23.1","38.5","1.6","1.6","190404"
"13244",13243,"WK190405","Stichtse Vecht","Wijk","WK190405","1",3300,620,170,115,5,5,"176",".","35.1","27.5","38.7","23.1","30.3","32.3","6.4","4.8","190405"
"13254",13253,"WK190406","Stichtse Vecht","Wijk","WK190406","1",1785,380,170,75,0,5,"386",".","47.1","36.8","33.3","30.5","27.2","36.7","5.3","4.8","190406"
"13259",13258,"WK190407","Stichtse Vecht","Wijk","WK190407","1",1745,315,145,25,0,10,"149",".","38.6","31.7","36.3","24.3","34","27.6","6.3","5","190407"
"13263",13262,"WK190408","Stichtse Vecht","Wijk","WK190408","1",1565,285,120,95,10,10,"393",".","43.7","33.9","34.4","27.9","27.2","35.6","4.5","5.2","190408"
"13269",13268,"WK190409","Stichtse Vecht","Wijk","WK190409","1",475,100,40,35,5,0,"75",".","65.6","51.6","34.8","33","25.4","43.5","4.8","5.3","190409"
"13277",13276,"WK190410","Stichtse Vecht","Wijk","WK190410","1",480,125,45,15,0,0,"234",".","46.5","38.3","27.4","33.1","13.1","41.6","0.9","1.4","190410"
"13282",13281,"WK190411","Stichtse Vecht","Wijk","WK190411","1",620,95,60,15,0,0,"435",".","56.4","44.8","29","44.4","16.7","57.6","1.7","0.8","190411"
"13284",13283,"WK190412","Stichtse Vecht","Wijk","WK190412","1",22825,3490,2360,3210,660,270,"4996",".","31.8","25.5","33.5","20","28.6","21.5","5","4.6","190412"
"13301",13300,"WK061700","Strijen","Wijk","WK061700","1",8785,1890,420,285,25,10,"175","215","32.8","27.1","38.3","21.5","29.9","24.4","4.2","3.9","061700"
"13316",13315,"WK190000","Súdwest-Fryslân","Wijk","WK190000","1",10185,2290,480,465,10,135,"1126","161","26.9","21.2","44.4","14.1","43.7","13.8","8.3","8.1","190000"
"13323",13322,"WK190001","Súdwest-Fryslân","Wijk","WK190001","1",33855,7080,2165,1880,75,165,"1143","176","28.2","22.6","44.5","15.4","44.3","14.8","9.9","8.6","190001"
"13344",13343,"WK190002","Súdwest-Fryslân","Wijk","WK190002","1",5355,1365,270,125,5,0,"173","176","27.4","22","44.6","14.5","40.8","16","8.6","8","190002"
"13350",13349,"WK190003","Súdwest-Fryslân","Wijk","WK190003","1",3405,910,110,75,0,0,"82","189","27.3","22.4","44.5","13.5","36.7","17.7","6.2","6.5","190003"
"13356",13355,"WK190004","Súdwest-Fryslân","Wijk","WK190004","1",2330,505,125,55,0,0,"98","176","27.2","21.6","45.8","13.1","38.3","16","7.1","6","190004"
"13363",13362,"WK190005","Súdwest-Fryslân","Wijk","WK190005","1",3140,680,130,75,5,0,"516","199","29.8","24.1","41.4","18.3","33.2","22.4","5.2","4.9","190005"
"13368",13367,"WK190006","Súdwest-Fryslân","Wijk","WK190006","1",3080,615,120,50,0,0,"116","203","29.1","22.9","43.3","15.6","33.5","20.7","4.8","4.8","190006"
"13375",13374,"WK190007","Súdwest-Fryslân","Wijk","WK190007","1",2270,400,80,35,0,0,"194","209","30.4","24","39.4","17.6","24.3","25.1","4.9","4.5","190007"
"13382",13381,"WK190008","Súdwest-Fryslân","Wijk","WK190008","1",1070,200,30,20,0,0,"65","201","28.2","21.5","41.5","15.1","33.9","21.2","5.8","5.8","190008"
"13389",13388,"WK190009","Súdwest-Fryslân","Wijk","WK190009","1",1540,320,50,15,0,0,"58","213","30.5","23.9","40.5","16.9","30.9","24.6","2.9","3.3","190009"
"13400",13399,"WK190010","Súdwest-Fryslân","Wijk","WK190010","1",1510,240,35,15,0,0,"78","200","29.4","23.1","40.1","17.2","28.2","25.2","4.2","3.9","190010"
"13407",13406,"WK190011","Súdwest-Fryslân","Wijk","WK190011","1",1450,350,50,40,5,0,"174","235","30.1","24.8","42.6","17.4","34.3","21","7","6.1","190011"
"13412",13411,"WK190012","Súdwest-Fryslân","Wijk","WK190012","1",1660,320,80,25,0,0,"75","226","30.5","24.4","39.9","18.3","29.2","24.2","7","6","190012"
"13420",13419,"WK190013","Súdwest-Fryslân","Wijk","WK190013","1",3950,760,180,60,5,0,"91","165","28.6","22.9","40.8","15.5","37.1","17.2","6","5.4","190013"
"13429",13428,"WK190014","Súdwest-Fryslân","Wijk","WK190014","1",1365,235,50,15,0,0,"41","196","29.1","23.6","39.6","15.6","25.8","24.4","2.9","2.9","190014"
"13440",13439,"WK190015","Súdwest-Fryslân","Wijk","WK190015","1",565,115,35,10,0,0,"34","179","28.4","22.5","41.3","15","39.4","18.1","6.1","6.9","190015"
"13446",13445,"WK190016","Súdwest-Fryslân","Wijk","WK190016","1",1590,265,70,5,0,0,"47","194","28.9","22.3","40.8","16.1","27.3","21.6","3.7","3.4","190016"
"13455",13454,"WK190017","Súdwest-Fryslân","Wijk","WK190017","1",3460,795,190,110,0,5,"590","171","27.5","22","44.4","15.4","40.5","17.7","6.6","6.3","190017"
"13458",13457,"WK190018","Súdwest-Fryslân","Wijk","WK190018","1",785,155,30,5,0,0,"31","221","30.1","23.3","40.4","17.1","26.1","22.6","5.6","5.6","190018"
"13466",13465,"WK190019","Súdwest-Fryslân","Wijk","WK190019","1",1640,250,40,20,0,0,"66","200","31","24.2","35.4","17.8","29.8","22.9","4.1","4","190019"
"13473",13472,"WK071501","Terneuzen","Wijk","WK071501","1",2690,860,540,230,20,15,"3472","117","26.8","23.8","50.9","12.7","64.6","7.7","17.3","14.9","071501"
"13475",13474,"WK071504","Terneuzen","Wijk","WK071504","3",100,15,15,5,0,0,"15",".",".","25.2",".",".",".",".",".",".","071504"
"13480",13479,"WK071507","Terneuzen","Wijk","WK071507","1",8425,2055,1160,840,50,290,"3223","166","31.1","25.4","40.1","19.7","34.4","18.9","4.5","5","071507"
"13486",13485,"WK071510","Terneuzen","Wijk","WK071510","1",10630,3100,1550,1540,85,585,"4018","140","27.7","22.8","42.7","13.7","43.5","11.1","7.7","6.8","071510"
"13492",13491,"WK071513","Terneuzen","Wijk","WK071513","1",3380,325,455,145,0,25,"2535","291","44.2","33.7","29.9","36.9","9.6","46.4","2.2","1.8","071513"
"13494",13493,"WK071516","Terneuzen","Wijk","WK071516","1",40,15,0,0,0,0,"8",".",".",".",".",".",".",".",".",".","071516"
"13496",13495,"WK071519","Terneuzen","Wijk","WK071519","1",7090,1705,1135,480,40,115,"2430","148","28.9","23.4","43.7","16.1","45.4","14.4","7.6","7.9","071519"
"13498",13497,"WK071522","Terneuzen","Wijk","WK071522","1",745,110,100,15,0,0,"22","241","33.7","26.3","35.7","24.6","25.8","31.5","6.3","4.9","071522"
"13500",13499,"WK071525","Terneuzen","Wijk","WK071525","1",1240,325,185,25,0,5,"1778","152","30.8","25.5","39.5","18.7","36.6","20.2","4.7","4.3","071525"
"13502",13501,"WK071528","Terneuzen","Wijk","WK071528","1",310,55,45,0,0,0,"15","244","33.1","28.3","37.6","24.8","28.4","39.6","6.1","6.1","071528"
"13504",13503,"WK071531","Terneuzen","Wijk","WK071531","1",2385,540,310,65,0,0,"2512","136","31.7","25.5","39.9","17.6","35.4","16.4","5.6","5.4","071531"
"13506",13505,"WK071534","Terneuzen","Wijk","WK071534","3",545,115,50,0,0,0,"18","312","32.1","25.9","39","22.5","26.6","31.8","2.9","4.3","071534"
"13508",13507,"WK071537","Terneuzen","Wijk","WK071537","1",1890,495,645,20,0,0,"826","197","30.7","24.8","39.8","19.8","36.1","19.5","6","5.6","071537"
"13510",13509,"WK071540","Terneuzen","Wijk","WK071540","1",655,140,190,10,0,0,"40","289","34.1","27.8","36.6","22.5","21.8","27.3","2.3","2.3","071540"
"13512",13511,"WK071543","Terneuzen","Wijk","WK071543","1",160,20,90,0,0,0,"543","222","38.2","24.9","23.8","34.3",".",".",".",".","071543"
"13514",13513,"WK071546","Terneuzen","Wijk","WK071546","1",85,20,30,0,0,0,"14",".",".",".",".",".",".",".",".",".","071546"
"13516",13515,"WK071549","Terneuzen","Wijk","WK071549","1",1840,415,370,50,0,0,"2210","176","34.6","28.5","38.1","25.8","27.6","24.6","5.1","4.6","071549"
"13518",13517,"WK071552","Terneuzen","Wijk","WK071552","1",205,50,40,0,0,0,"11","276","34.1","28.9","41.7","23.4",".",".",".",".","071552"
"13520",13519,"WK071555","Terneuzen","Wijk","WK071555","1",3590,870,1305,250,20,75,"1813","122","27.5","21.7","43.3","14.6","48.1","9.3","9.4","8.4","071555"
"13522",13521,"WK071558","Terneuzen","Wijk","WK071558","1",385,80,95,0,0,0,"25","205","32.4","26.2","34.8","19.7","33.5","20.2","4.2","3.6","071558"
"13524",13523,"WK071561","Terneuzen","Wijk","WK071561","1",2265,475,470,190,20,50,"1660","118","27.4","21.6","42","15.1","44.9","11.5","6.7","5.7","071561"
"13526",13525,"WK071564","Terneuzen","Wijk","WK071564","3",85,20,5,0,0,0,"9",".",".",".",".",".",".",".",".",".","071564"
"13528",13527,"WK071567","Terneuzen","Wijk","WK071567","1",170,40,15,0,0,0,"957","219","38.8","32.7","30.1","20.3",".",".",".",".","071567"
"13530",13529,"WK071570","Terneuzen","Wijk","WK071570","1",10,0,0,0,0,0,"13",".",".",".",".",".",".",".",".",".","071570"
"13532",13531,"WK071573","Terneuzen","Wijk","WK071573","1",1880,465,625,25,0,0,"1193","158","29.6","24.1","40.3","19.5","38.2","18","4.4","5","071573"
"13534",13533,"WK071576","Terneuzen","Wijk","WK071576","1",25,10,10,0,0,0,"1",".",".",".",".",".",".",".",".",".","071576"
